Abraham-a-Sancta-Clara-Gasse,1010,Wien,Oesterreich
Akademiestrasse,1010,Wien,Oesterreich
Albertinaplatz,1010,Wien,Oesterreich
Alte Walfischgasse,1010,Wien,Oesterreich
Am Gestade,1010,Wien,Oesterreich
Am Hof,1010,Wien,Oesterreich
An der Huelben,1010,Wien,Oesterreich
Musikvereinsplatz,1010,Wien,Oesterreich
Annagasse,1010,Wien,Oesterreich
Julius-Raab-Platz,1010,Wien,Oesterreich
Auerspergstrasse,1010,Wien,Oesterreich
Augustinerbastei,1010,Wien,Oesterreich
Augustinerstrasse,1010,Wien,Oesterreich
Auwinkel,1010,Wien,Oesterreich
Babenbergerstrasse,1010,Wien,Oesterreich
Baeckerstrasse,1010,Wien,Oesterreich
Ballgasse,1010,Wien,Oesterreich
Ballhausplatz,1010,Wien,Oesterreich
Bankgasse,1010,Wien,Oesterreich
Barbaragasse,1010,Wien,Oesterreich
Bartensteingasse,1010,Wien,Oesterreich
Bauernmarkt,1010,Wien,Oesterreich
Beethovenplatz,1010,Wien,Oesterreich
Bellariastrasse,1010,Wien,Oesterreich
Biberstrasse,1010,Wien,Oesterreich
Blumenstockgasse,1010,Wien,Oesterreich
Blutgasse,1010,Wien,Oesterreich
Boersegasse,1010,Wien,Oesterreich
Boerseplatz,1010,Wien,Oesterreich
Boesendorferstrasse,1010,Wien,Oesterreich
Bognergasse,1010,Wien,Oesterreich
Braeunerstrasse,1010,Wien,Oesterreich
Brandstaette,1010,Wien,Oesterreich
Burgring,1010,Wien,Oesterreich
Canovagasse,1010,Wien,Oesterreich
Christinengasse,1010,Wien,Oesterreich
Churhausgasse,1010,Wien,Oesterreich
Cobdengasse,1010,Wien,Oesterreich
Coburgbastei,1010,Wien,Oesterreich
Concordiaplatz,1010,Wien,Oesterreich
Deutschmeisterplatz,1010,Wien,Oesterreich
Doblhoffgasse,1010,Wien,Oesterreich
Dr.-Ignaz-Seipel-Platz,1010,Wien,Oesterreich
Dr.-Karl-Lueger-Platz,1010,Wien,Oesterreich
Universitaetsring,1010,Wien,Oesterreich
Dr.-Karl-Renner-Ring,1010,Wien,Oesterreich
Domgasse,1010,Wien,Oesterreich
Dominikanerbastei,1010,Wien,Oesterreich
Donnergasse,1010,Wien,Oesterreich
Dorotheergasse,1010,Wien,Oesterreich
Drachengasse,1010,Wien,Oesterreich
Drahtgasse,1010,Wien,Oesterreich
Dumbastrasse,1010,Wien,Oesterreich
Ebendorferstrasse,1010,Wien,Oesterreich
Elisabethstrasse,1010,Wien,Oesterreich
Ertlgasse,1010,Wien,Oesterreich
Eschenbachgasse,1010,Wien,Oesterreich
Essiggasse,1010,Wien,Oesterreich
Esslinggasse,1010,Wien,Oesterreich
Faerbergasse,1010,Wien,Oesterreich
Fahnengasse,1010,Wien,Oesterreich
Falkestrasse,1010,Wien,Oesterreich
Felderstrasse,1010,Wien,Oesterreich
Fichtegasse,1010,Wien,Oesterreich
Fischerstiege,1010,Wien,Oesterreich
Fischhof,1010,Wien,Oesterreich
Fleischmarkt,1010,Wien,Oesterreich
Franziskanerplatz,1010,Wien,Oesterreich
Franz-Josefs-Kai,1010,Wien,Oesterreich
Freisingergasse,1010,Wien,Oesterreich
Freyung,1010,Wien,Oesterreich
Friedrich-Schmidt-Platz,1010,Wien,Oesterreich
Friedrichstrasse,1010,Wien,Oesterreich
Fuehrichgasse,1010,Wien,Oesterreich
Fuetterergasse,1010,Wien,Oesterreich
Gartenbaupromenade,1010,Wien,Oesterreich
Gauermanngasse,1010,Wien,Oesterreich
Georg-Coch-Platz,1010,Wien,Oesterreich
Getreidemarkt,1010,Wien,Oesterreich
Gluckgasse,1010,Wien,Oesterreich
Goelsdorfgasse,1010,Wien,Oesterreich
Goethegasse,1010,Wien,Oesterreich
Goettweihergasse,1010,Wien,Oesterreich
Goldschmiedgasse,1010,Wien,Oesterreich
Gonzagagasse,1010,Wien,Oesterreich
Graben,1010,Wien,Oesterreich
Grashofgasse,1010,Wien,Oesterreich
Griechengasse,1010,Wien,Oesterreich
Grillparzerstrasse,1010,Wien,Oesterreich
Gruenangergasse,1010,Wien,Oesterreich
Haarhof,1010,Wien,Oesterreich
Habsburgergasse,1010,Wien,Oesterreich
